n,min,model,pval,simslope,slope
303,10,PGLSSEYOPTIM,0.96,0,-7.74E-10
303,10,Compar,0.362395142,0,-5.27E-08
301,10,PGLSSEY,0.14,0,2.17E-08
301,10,PGLSSEYOPTIM,0.11,0,2.35E-08
301,10,Compar,0.026561335,0,1.10E-07
300,1,PGLSSEY,0.097,0,-8.29E-08
300,1,PGLSSEYOPTIM,0.1,0,-8.01E-08
300,1,Compar,0.55482656,0,1.03E-07
300,1,PGLSSEY,0.83,0,-1.76E-08
300,1,PGLSSEYOPTIM,0.59,0,4.68E-08
300,1,Compar,0.010344549,0,8.31E-07
295,5,PGLSSEY,0.67,0,1.57E-08
295,5,PGLSSEYOPTIM,0.55,0,2.18E-08
295,5,Compar,0.023242991,0,2.95E-07
307,20,PGLSSEY,0.86,0,9.09E-09
307,20,PGLSSEYOPTIM,0.86,0,9.22E-09
307,20,Compar,0.508617141,0,1.15E-07
307,5,PGLSSEY,0.34,0,3.57E-08
307,5,PGLSSEYOPTIM,0.27,0,4.14E-08
307,5,Compar,0.00357241,0,3.85E-07
294,10,PGLSSEY,0.08,0,-1.14E-07
294,10,PGLSSEYOPTIM,0.097,0,-1.09E-07
294,10,Compar,0.818871363,0,4.94E-08
307,10,PGLSSEY,0.83,0,9.34E-09
307,10,PGLSSEYOPTIM,0.75,0,1.40E-08
307,10,Compar,0.286322593,0,1.52E-07
293,1,PGLSSEY,0.69,0,-1.28E-08
293,1,PGLSSEYOPTIM,0.72,0,-1.15E-08
293,1,Compar,0.000726391,0,-4.36E-07
302,1,PGLSSEY,0.72,0,5.37E-09
302,1,PGLSSEYOPTIM,0.8,0,3.82E-09
302,1,Compar,0.003732122,0,1.71E-07
309,1,PGLSSEY,0.86,0,2.46E-09
309,1,PGLSSEYOPTIM,0.66,0,6.45E-09
309,1,Compar,1.18E-11,0,-5.14E-07
307,10,PGLSSEY,0.5,0,-2.37E-08
307,10,PGLSSEYOPTIM,0.56,0,-2.01E-08
307,10,Compar,0.366324453,0,-1.10E-07
297,20,PGLSSEY,0.13,0,-3.00E-08
297,20,PGLSSEYOPTIM,0.15,0,-2.87E-08
NA,NA,Compar,NA,NA,NA
294,10,PGLSSEY,0.58,0,-3.13E-08
294,10,PGLSSEYOPTIM,0.76,0,-1.71E-08
294,10,Compar,0.308718088,0,1.92E-07
307,5,PGLSSEY,0.19,0,2.98E-08
307,5,PGLSSEYOPTIM,0.16,0,3.13E-08
307,5,Compar,0.001173174,0,2.73E-07
310,5,PGLSSEY,0.35,0,-8.22E-08
310,5,PGLSSEYOPTIM,0.36,0,-8.06E-08
310,5,Compar,0.013876943,0,-7.93E-07
308,1,PGLSSEY,0.62,0,7.11E-09
308,1,PGLSSEYOPTIM,0.38,0,1.31E-08
308,1,Compar,0.006435693,0,1.53E-07
302,1,PGLSSEY,0.43,0,-1.34E-08
302,1,PGLSSEYOPTIM,0.36,0,-1.57E-08
302,1,Compar,0.996745036,0,-2.39E-10
301,10,PGLSSEY,0.59,0,-7.45E-09
301,10,PGLSSEYOPTIM,0.56,0,-8.12E-09
301,10,Compar,0.651696035,0,-2.17E-08
304,20,PGLSSEY,0.88,0,-1.40E-08
304,20,PGLSSEYOPTIM,0.85,0,-1.88E-08
304,20,Compar,0.017497602,0,8.17E-07
306,20,PGLSSEY,0.44,0,3.85E-08
306,20,PGLSSEYOPTIM,0.47,0,3.56E-08
306,20,Compar,0.01513648,0,4.32E-07
298,5,PGLSSEY,0.88,0,-2.82E-09
298,5,PGLSSEYOPTIM,0.98,0,-5.15E-10
298,5,Compar,0.000400159,0,2.37E-07
303,5,PGLSSEY,0.6,0,-1.61E-08
303,5,PGLSSEYOPTIM,0.46,0,-2.24E-08
303,5,Compar,0.259643588,0,-1.18E-07
295,10,PGLSSEY,0.16,0,1.09E-07
295,10,PGLSSEYOPTIM,0.28,0,8.58E-08
295,10,Compar,0.10283663,0,4.19E-07
301,1,PGLSSEY,0.64,0,-1.62E-08
301,1,PGLSSEYOPTIM,0.91,0,-3.66E-09
301,1,Compar,0.001296155,0,4.11E-07
301,1,PGLSSEY,0.54,0,4.46E-08
301,1,PGLSSEYOPTIM,0.75,0,2.33E-08
301,1,Compar,0.797039289,0,6.08E-08
304,1,PGLSSEY,0.27,0,2.23E-08
304,1,PGLSSEYOPTIM,0.14,0,3.02E-08
304,1,Compar,1.66E-08,0,5.66E-07
302,1,PGLSSEY,0.24,0,-1.03E-07
302,1,PGLSSEYOPTIM,0.33,0,-8.52E-08
NA,NA,Compar,NA,NA,NA
301,1,PGLSSEY,0.59,0,5.00E-08
301,1,PGLSSEYOPTIM,0.79,0,2.37E-08
301,1,Compar,1.21E-06,0,-1.78E-06
302,5,PGLSSEY,0.49,0,6.25E-08
302,5,PGLSSEYOPTIM,0.54,0,5.47E-08
302,5,Compar,0.164705899,0,4.31E-07
307,20,PGLSSEY,0.17,0,3.09E-08
307,20,PGLSSEYOPTIM,0.49,0,1.53E-08
307,20,Compar,0.185069332,0,1.01E-07
292,1,PGLSSEY,0.41,0,1.26E-08
292,1,PGLSSEYOPTIM,0.59,0,8.33E-09
292,1,Compar,0.045863186,0,1.11E-07
301,5,PGLSSEY,0.66,0,-6.30E-09
301,5,PGLSSEYOPTIM,0.37,0,-1.25E-08
301,5,Compar,0.001105616,0,-1.70E-07
300,10,PGLSSEY,0.24,0,1.66E-08
300,10,PGLSSEYOPTIM,0.21,0,1.81E-08
300,10,Compar,1.84E-05,0,2.41E-07
307,5,PGLSSEY,0.36,0,-3.35E-08
307,5,PGLSSEYOPTIM,0.92,0,3.66E-09
307,5,Compar,0.525824795,0,-7.78E-08
295,10,PGLSSEY,0.93,0,1.25E-09
295,10,PGLSSEYOPTIM,0.87,0,2.36E-09
295,10,Compar,0.033246473,0,-1.08E-07
304,5,PGLSSEY,0.47,0,-1.74E-08
304,5,PGLSSEYOPTIM,0.37,0,-2.13E-08
304,5,Compar,2.23E-06,0,-4.39E-07
299,20,PGLSSEY,0.26,0,-9.54E-08
299,20,PGLSSEYOPTIM,0.27,0,-9.33E-08
299,20,Compar,0.013181163,0,7.45E-07
315,20,PGLSSEY,0.25,0,-2.06E-08
315,20,PGLSSEYOPTIM,0.05,0,-3.39E-08
NA,NA,Compar,NA,NA,NA
303,10,PGLSSEY,0.1,0,-2.38E-08
303,10,PGLSSEYOPTIM,0.12,0,-2.30E-08
303,10,Compar,0.132159707,0,-7.52E-08
305,10,PGLSSEY,0.23,0,2.60E-08
305,10,PGLSSEYOPTIM,0.19,0,2.87E-08
305,10,Compar,0.062494612,0,-1.37E-07
299,1,PGLSSEY,0.71,0,6.40E-09
299,1,PGLSSEYOPTIM,0.3,0,1.79E-08
299,1,Compar,0.150649728,0,8.66E-08
305,1,PGLSSEY,0.95,0,3.07E-09
305,1,PGLSSEYOPTIM,0.55,0,2.98E-08
NA,NA,Compar,NA,NA,NA
295,5,PGLSSEY,0.89,0,5.32E-09
