"","n","min","model","pval","simslope","slope"
"x12846",44,10,"PGLSSEYOPTIM",0.61,0,2.97183173248516e-07
"12846",44,10,"Compar",0.197773265963365,0,2.57326516765479e-06
"x3847",45,10,"PGLSSEY",0.9,0,-3.06525876498652e-08
"x12847",45,10,"PGLSSEYOPTIM",0.96,0,1.44395874402128e-08
"12847",45,10,"Compar",0.0811233217899474,0,-1.62878219900055e-06
"x3848",49,10,"PGLSSEY",0.75,0,1.27558293842846e-07
"x12848",49,10,"PGLSSEYOPTIM",0.79,0,1.0689115530328e-07
"12848",NA,NA,"Compar",NA,NA,NA
"x3849",48,10,"PGLSSEY",0.92,0,-9.2191528340433e-08
"x12849",48,10,"PGLSSEYOPTIM",1,0,2.81305577444295e-09
"12849",48,10,"Compar",0.577419713681317,0,-1.828330276443e-06
"x3850",48,10,"PGLSSEY",0.66,0,-1.88161388579256e-08
"x12850",48,10,"PGLSSEYOPTIM",0.69,0,-1.75163103994813e-08
"12850",48,10,"Compar",0.128004492140462,0,-2.35811367950817e-07
"x3851",45,10,"PGLSSEY",0.75,0,-8.53021008559249e-08
"x12851",45,10,"PGLSSEYOPTIM",0.69,0,-1.02210527526262e-07
"12851",45,10,"Compar",0.703103798548321,0,-3.31406784053536e-07
"x3852",47,10,"PGLSSEY",0.59,0,1.32512544991745e-07
"x12852",47,10,"PGLSSEYOPTIM",0.5,0,1.64817147006143e-07
"12852",NA,NA,"Compar",NA,NA,NA
"x3853",50,10,"PGLSSEY",0.86,0,5.35385026443334e-08
"x12853",50,10,"PGLSSEYOPTIM",0.87,0,4.82669055087944e-08
"12853",50,10,"Compar",0.249464721000567,0,-1.04229274301686e-06
"x3854",48,10,"PGLSSEY",0.56,0,-9.21214940027458e-08
"x12854",48,10,"PGLSSEYOPTIM",0.46,0,-1.15485579729359e-07
"12854",48,10,"Compar",0.867988573851556,0,-8.4530833898387e-08
"x3855",44,10,"PGLSSEY",0.88,0,3.05817171366731e-08
"x12855",44,10,"PGLSSEYOPTIM",0.88,0,2.89896953760737e-08
"12855",44,10,"Compar",0.68683883863708,0,-2.41327438088448e-07
"x3856",47,10,"PGLSSEY",0.89,0,4.48105637297604e-08
"x12856",47,10,"PGLSSEYOPTIM",0.86,0,5.82397505122413e-08
"12856",47,10,"Compar",0.02878930403135,0,2.67458330927396e-06
"x3857",48,10,"PGLSSEY",0.73,0,-5.65351607127312e-08
"x12857",48,10,"PGLSSEYOPTIM",0.78,0,-4.62289428167296e-08
"12857",48,10,"Compar",0.0377610125418402,0,-1.26713621899003e-06
"x3858",46,10,"PGLSSEY",0.7,0,-4.9279969154111e-08
"x12858",46,10,"PGLSSEYOPTIM",0.62,0,-6.29174111141038e-08
"12858",46,10,"Compar",0.960271784611035,0,-1.98540117386289e-08
"x3859",47,10,"PGLSSEY",0.63,0,4.75047437885315e-08
"x12859",47,10,"PGLSSEYOPTIM",0.42,0,7.73007735280951e-08
"12859",47,10,"Compar",0.0271057649005662,0,8.93115361506358e-07
"x3860",46,10,"PGLSSEY",0.92,0,4.30550338296245e-09
"x12860",46,10,"PGLSSEYOPTIM",0.84,0,8.21606784147293e-09
"12860",46,10,"Compar",0.8966661802485,0,-1.87810665837913e-08
"x3861",47,10,"PGLSSEY",0.38,0,4.53869178058561e-08
"x12861",47,10,"PGLSSEYOPTIM",0.6,0,2.95477502190892e-08
"12861",47,10,"Compar",0.448263839889453,0,1.15642734423927e-07
"x3862",46,10,"PGLSSEY",0.91,0,3.78033567297514e-08
"x12862",46,10,"PGLSSEYOPTIM",0.87,0,5.27243364363985e-08
"12862",46,10,"Compar",0.206166110917875,0,1.42750368399181e-06
"x3863",46,10,"PGLSSEY",0.78,0,4.19284036128284e-08
